0.0244918,-0.0559813,0.0139953
0.0243086,-0.0505231,0.0132956
0.0237644,-0.0453448,0.0125958
0.0228755,-0.0404465,0.011896
0.0216688,-0.035828,0.0111963
0.0201806,-0.0314895,0.0104965
0.0184563,-0.0274308,0.00979673
0.0165486,-0.0236521,0.00909696
0.0145164,-0.0201533,0.00839719
0.0124226,-0.0169343,0.00769743
0.0103325,-0.0139953,0.00699766
0.008311,-0.0113362,0.00629789
0.00642038,-0.008957,0.00559813
0.00471712,-0.0068577,0.00489836
0.00324886,-0.00503831,0.0041986
0.00205095,-0.00349883,0.00349883
0.00114269,-0.00223925,0.00279906
0.00052337,-0.00125958,0.0020993
0.000167989,-0.000559811,0.00139953
2.27002e-05,-0.000139952,0.000699764
